date_key,full_date,year,quarter,quarter_name,month_number,month_name,month_short,year_month,iso_week,day_of_month,day_of_week,day_name,day_short,is_weekend,day_of_year
20150310,2015-03-10,2015,1,Q1 2015,3,March,Mar,2015-03,11,10,2,Tuesday,Tue,False,69
20150311,2015-03-11,2015,1,Q1 2015,3,March,Mar,2015-03,11,11,3,Wednesday,Wed,False,70
20150312,2015-03-12,2015,1,Q1 2015,3,March,Mar,2015-03,11,12,4,Thursday,Thu,False,71
20150313,2015-03-13,2015,1,Q1 2015,3,March,Mar,2015-03,11,13,5,Friday,Fri,False,72
20150314,2015-03-14,2015,1,Q1 2015,3,March,Mar,2015-03,11,14,6,Saturday,Sat,True,73
20150315,2015-03-15,2015,1,Q1 2015,3,March,Mar,2015-03,11,15,7,Sunday,Sun,True,74
20150316,2015-03-16,2015,1,Q1 2015,3,March,Mar,2015-03,12,16,1,Monday,Mon,False,75
20150317,2015-03-17,2015,1,Q1 2015,3,March,Mar,2015-03,12,17,2,Tuesday,Tue,False,76
20150318,2015-03-18,2015,1,Q1 2015,3,March,Mar,2015-03,12,18,3,Wednesday,Wed,False,77
20150319,2015-03-19,2015,1,Q1 2015,3,March,Mar,2015-03,12,19,4,Thursday,Thu,False,78
20150320,2015-03-20,2015,1,Q1 2015,3,March,Mar,2015-03,12,20,5,Friday,Fri,False,79
20150321,2015-03-21,2015,1,Q1 2015,3,March,Mar,2015-03,12,21,6,Saturday,Sat,True,80
20150322,2015-03-22,2015,1,Q1 2015,3,March,Mar,2015-03,12,22,7,Sunday,Sun,True,81
20150323,2015-03-23,2015,1,Q1 2015,3,March,Mar,2015-03,13,23,1,Monday,Mon,False,82
20150324,2015-03-24,2015,1,Q1 2015,3,March,Mar,2015-03,13,24,2,Tuesday,Tue,False,83
20150325,2015-03-25,2015,1,Q1 2015,3,March,Mar,2015-03,13,25,3,Wednesday,Wed,False,84
20150326,2015-03-26,2015,1,Q1 2015,3,March,Mar,2015-03,13,26,4,Thursday,Thu,False,85
20150327,2015-03-27,2015,1,Q1 2015,3,March,Mar,2015-03,13,27,5,Friday,Fri,False,86
20150328,2015-03-28,2015,1,Q1 2015,3,March,Mar,2015-03,13,28,6,Saturday,Sat,True,87
20150329,2015-03-29,2015,1,Q1 2015,3,March,Mar,2015-03,13,29,7,Sunday,Sun,True,88
20150330,2015-03-30,2015,1,Q1 2015,3,March,Mar,2015-03,14,30,1,Monday,Mon,False,89
20150331,2015-03-31,2015,1,Q1 2015,3,March,Mar,2015-03,14,31,2,Tuesday,Tue,False,90
20150401,2015-04-01,2015,2,Q2 2015,4,April,Apr,2015-04,14,1,3,Wednesday,Wed,False,91
20150402,2015-04-02,2015,2,Q2 2015,4,April,Apr,2015-04,14,2,4,Thursday,Thu,False,92
20150403,2015-04-03,2015,2,Q2 2015,4,April,Apr,2015-04,14,3,5,Friday,Fri,False,93
20150404,2015-04-04,2015,2,Q2 2015,4,April,Apr,2015-04,14,4,6,Saturday,Sat,True,94
20150405,2015-04-05,2015,2,Q2 2015,4,April,Apr,2015-04,14,5,7,Sunday,Sun,True,95
20150406,2015-04-06,2015,2,Q2 2015,4,April,Apr,2015-04,15,6,1,Monday,Mon,False,96
20150407,2015-04-07,2015,2,Q2 2015,4,April,Apr,2015-04,15,7,2,Tuesday,Tue,False,97
20150408,2015-04-08,2015,2,Q2 2015,4,April,Apr,2015-04,15,8,3,Wednesday,Wed,False,98
20150409,2015-04-09,2015,2,Q2 2015,4,April,Apr,2015-04,15,9,4,Thursday,Thu,False,99
20150410,2015-04-10,2015,2,Q2 2015,4,April,Apr,2015-04,15,10,5,Friday,Fri,False,100
20150411,2015-04-11,2015,2,Q2 2015,4,April,Apr,2015-04,15,11,6,Saturday,Sat,True,101
20150412,2015-04-12,2015,2,Q2 2015,4,April,Apr,2015-04,15,12,7,Sunday,Sun,True,102
20150413,2015-04-13,2015,2,Q2 2015,4,April,Apr,2015-04,16,13,1,Monday,Mon,False,103
20150414,2015-04-14,2015,2,Q2 2015,4,April,Apr,2015-04,16,14,2,Tuesday,Tue,False,104
20150415,2015-04-15,2015,2,Q2 2015,4,April,Apr,2015-04,16,15,3,Wednesday,Wed,False,105
20150416,2015-04-16,2015,2,Q2 2015,4,April,Apr,2015-04,16,16,4,Thursday,Thu,False,106
20150417,2015-04-17,2015,2,Q2 2015,4,April,Apr,2015-04,16,17,5,Friday,Fri,False,107
20150418,2015-04-18,2015,2,Q2 2015,4,April,Apr,2015-04,16,18,6,Saturday,Sat,True,108
20150419,2015-04-19,2015,2,Q2 2015,4,April,Apr,2015-04,16,19,7,Sunday,Sun,True,109
20150420,2015-04-20,2015,2,Q2 2015,4,April,Apr,2015-04,17,20,1,Monday,Mon,False,110
20150421,2015-04-21,2015,2,Q2 2015,4,April,Apr,2015-04,17,21,2,Tuesday,Tue,False,111
20150422,2015-04-22,2015,2,Q2 2015,4,April,Apr,2015-04,17,22,3,Wednesday,Wed,False,112
20150423,2015-04-23,2015,2,Q2 2015,4,April,Apr,2015-04,17,23,4,Thursday,Thu,False,113
20150424,2015-04-24,2015,2,Q2 2015,4,April,Apr,2015-04,17,24,5,Friday,Fri,False,114
20150425,2015-04-25,2015,2,Q2 2015,4,April,Apr,2015-04,17,25,6,Saturday,Sat,True,115
20150426,2015-04-26,2015,2,Q2 2015,4,April,Apr,2015-04,17,26,7,Sunday,Sun,True,116
20150427,2015-04-27,2015,2,Q2 2015,4,April,Apr,2015-04,18,27,1,Monday,Mon,False,117
20150428,2015-04-28,2015,2,Q2 2015,4,April,Apr,2015-04,18,28,2,Tuesday,Tue,False,118
20150429,2015-04-29,2015,2,Q2 2015,4,April,Apr,2015-04,18,29,3,Wednesday,Wed,False,119
20150430,2015-04-30,2015,2,Q2 2015,4,April,Apr,2015-04,18,30,4,Thursday,Thu,False,120
20150501,2015-05-01,2015,2,Q2 2015,5,May,May,2015-05,18,1,5,Friday,Fri,False,121
20150502,2015-05-02,2015,2,Q2 2015,5,May,May,2015-05,18,2,6,Saturday,Sat,True,122
20150503,2015-05-03,2015,2,Q2 2015,5,May,May,2015-05,18,3,7,Sunday,Sun,True,123
